Exercise,Diet,Source Location,Clutch,Individual number,Body Length,Leg length (mm),Arm length (mm),Head Width (mm) ,Heart Mass (g),Liver Mass (g),Struggle (number of kicks),Righting time (s),Distance traveled in 1 min (cm),Spontaneous Acitivty - 95%quantile (cm),exhaustion score,Stamina score,Recovery score,ln RadioTelemetry distance
1,0,NT,Middle Point 1,442,28.7,0.37630662,0.254355401,0.344947735,0.000627178,0.003066202,8,1,573,14.3513,4.329416684,-0.262885637,0.155264428,
0,1,NT,Middle Point 1,445,25.4,0.342519685,0.220472441,0.330708661,0.000275591,0.000905512,3,1,496,10.3275,4.957234517,0.30118813,-0.240094745,
1,1,NT,Middle Point 1,453,29.3,0.33447099,0.242320819,0.341296928,0.000614334,0.002627986,9,1,721,31.1027,3.888140065,-0.316219858,0.148788833,
1,1,NT,Middle Point 2,402,28.9,0.359861592,0.235294118,0.356401384,0.000519031,0.001418685,3,1,775,62.5536,4.423648309,-0.131553686,-0.019295627,
1,1,NT,Middle Point 2,403,32,0.346875,0.234375,0.3375,0.0008125,0.002875,0,3,534,32.7633,4.453649378,-0.134545217,0.209802035,6.8
1,0,NT,Middle Point 2,404,32.1,0.373831776,0.258566978,0.320872274,0.000218069,0.000716511,2,1,890,26.423,3.978746637,-0.19918941,0.134370738,
1,1,NT,Middle Point 2,405,31.9,0.335423197,0.247648903,0.369905956,0.000564263,0.002413793,3,3,365,16.0911,5.162726712,-0.13743366,0.219572049,7.1
1,0,NT,Middle Point 2,406,54.3,0.366482505,0.248618785,0.32412523,0.002375691,0.006924494,3,1,1140,31.1933,3.34462703,-0.885588865,0.124993552,10.2
1,0,NT,Middle Point 2,407,24.1,0.373443983,0.219917012,0.348547718,0.000456432,0.001369295,2,1,450,17.4333,4.457481913,-0.130673743,-0.05451988,
0,0,NT,Middle Point 2,409,37.5,0.344,0.237333333,0.357333333,0.00344,0.010026667,4,1,512,25.6132,4.719926423,-0.029564538,-0.196971391,
0,1,NT,Middle Point 2,410,35,0.331428571,0.225714286,0.325714286,0.001085714,0.003571429,1,1,665,30.2035,4.302036009,-0.166516691,-0.062339444,9.4
1,1,NT,Middle Point 2,411,29.4,0.340136054,0.24829932,0.323129252,0.000748299,0.002142857,4,37,520,12.8333,5.217107311,0.297213948,0.013970599,
0,0,NT,Middle Point 2,412,29.2,0.359589041,0.25,0.345890411,0.000616438,0.001506849,4,1,518,22.3364,4.813727879,0.241471289,-0.380699202,
1,1,NT,Middle Point 2,413,29.3,0.351535836,0.252559727,0.324232082,0.001228669,0.002901024,0,2,604,26.8376,4.626148592,-0.267122586,0.168609406,27.5
0,1,NT,Middle Point 2,415,49.5,0.353535354,0.216161616,0.353535354,0.000363636,0.000888889,0,37,390,25.15035,4.989411658,-0.513515636,0.179194979,
0,0,NT,Middle Point 2,417,29.1,0.367697595,0.243986254,0.367697595,0.001237113,0.002920962,2,4,444,9.9085,5.155658733,0.586540865,-0.344907369,4.3
1,1,NT,Middle Point 2,420,25.9,0.351351351,0.254826255,0.328185328,0.003088803,0.000888031,5,1,712,45.7516,4.262398147,-0.068890184,-0.031612178,
0,0,NT,Middle Point 2,421,25.3,0.355731225,0.264822134,0.339920949,0.00055336,0.001581028,2,1,438,11.0816,4.692539832,-0.162047756,0.032017246,
1,1,NT,Middle Point 2,422,31.1,0.340836013,0.215434084,0.353697749,0.000450161,0.000996785,11,1,375,23.0498,5.319638448,0.263212579,0.061602439,
0,1,NT,Middle Point 2,423,34.5,0.362318841,0.246376812,0.336231884,0.000289855,0.001507246,3,1,657,10.2812,4.480060375,-0.289403024,-0.139877035,15.1
1,1,NT,Middle Point 2,426,27,0.322222222,0.233333333,0.366666667,0.001851852,0.001259259,0,1,633,33.6365,4.856862321,-0.045586188,-0.045253375,
0,0,NT,Middle Point 2,427,24.3,0.33744856,0.24691358,0.358024691,0.000534979,0.002674897,5,1,365,28.05055,4.888166296,0.161492367,-0.020235866,
0,0,NT,Middle Point 2,428,28,0.339285714,0.214285714,0.346428571,0.00075,0.002821429,0,1,453,18.93735,5.106248458,0.203786717,0.037276525,
1,0,NT,Middle Point 2,429,25.9,0.33976834,0.227799228,0.362934363,0.0003861,0.002007722,1,1,507,24.2388,4.761746493,0.23718189,0.093883899,
1,1,NT,Middle Point 2,431,43,0.374418605,0.28372093,0.4,0.000627907,0.000790698,2,180,153,34.2339,6.173973586,-0.664131038,0.751550619,
1,0,NT,Middle Point 2,434,35.5,0.36056338,0.247887324,0.371830986,0.000225352,0.001830986,6,1,665,6.2525,4.254477314,-0.044735899,0.004689769,
0,0,NT,Middle Point 2,436,30.4,0.358552632,0.230263158,0.345394737,0.000625,0.002598684,2,1,435,18.7076,4.971825163,0.366523082,-0.412105066,3.3
0,1,NT,Middle Point 2,438,33.1,0.329305136,0.220543807,0.33836858,0.000241692,0.001570997,10,1,473,21.0445,4.845603406,-0.058324908,-0.177159498,
1,1,NT,Middle Point 2,439,30.4,0.375,0.266447368,0.378289474,0.000888158,0.005230263,6,3,608,16.7509,4.667675391,-0.492492374,0.247127393,
1,0,NT,Middle Point 2,440,35.2,0.34375,0.221590909,0.323863636,0.000767045,0.004517045,1,2,474,25.7708,5.003744943,-0.42182807,0.740249533,
0,0,QLD,Innisfail 1,201,25.7,0.369649805,0.26459144,0.326848249,0.000972763,0.002568093,6,3,327,26.0556,5.43838361,-0.066025191,-0.033997937,
1,0,QLD,Innisfail 1,202,31.1,0.389067524,0.263665595,0.331189711,0.000257235,0.018424437,5,4,914,26.0597,3.928880122,-0.661259866,0.043154674,
1,1,QLD,Innisfail 1,203,23.9,0.372384937,0.234309623,0.343096234,0.000376569,0.001338912,2,4,429,26.0597,5.219111808,0.268582114,0.000568562,
1,0,QLD,Innisfail 1,206,23.8,0.390756303,0.273109244,0.382352941,0.004285714,0.003277311,3,5,295,20.8039,5.384632668,-0.091013132,-0.122694695,
1,1,QLD,Innisfail 1,207,55.4,0.384476534,0.245487365,0.362815884,0.001841155,0.01034296,3,1,581,25.2011,4.795046467,-0.699937671,0.543239062,
0,1,QLD,Innisfail 1,209,28.4,0.35915493,0.25,0.38028169,0.000880282,0.003521127,10,3,583,31.7584,4.770006428,0.119159196,0.043683068,
1,1,QLD,Innisfail 1,210,28.2,0.372340426,0.237588652,0.372340426,0.000886525,0.002411348,2,7,320,14.303,5.43838361,-0.049274803,0.407895082,
0,1,QLD,Innisfail 1,211,26.3,0.357414449,0.258555133,0.346007605,0.000304183,0.001406844,3,1,302,43.4518,5.370870559,-0.066025191,0.941965277,
1,1,QLD,Innisfail 1,213,29.9,0.35451505,0.217391304,0.334448161,0.00083612,0.002608696,4,1,413,23.7803,5.019727171,0.131554623,0.081420822,
0,0,QLD,Innisfail 1,215,29.3,0.389078498,0.279863481,0.38225256,0.000409556,0.002081911,3,1,588,17.5862,4.989139234,0.371654428,0.018487956,
1,1,QLD,Innisfail 1,220,31.7,0.362776025,0.233438486,0.317981073,0.000630915,0.004195584,8,27,589,31.7584,4.600157644,-0.05014222,0.022743416,56.4
1,0,QLD,Innisfail 1,221,34.4,0.39244186,0.279069767,0.360465116,0.000959302,0.003255814,0,3,724,37.8109,3.805995601,-0.199186597,-0.033997937,
0,1,QLD,Innisfail 1,222,27.3,0.366300366,0.278388278,0.322344322,0.000732601,0.002417582,3,1,372,21.178,4.180369342,-0.170099858,-0.000694548,
0,0,QLD,Innisfail 1,224,34,0.379411765,0.226470588,0.364705882,0.003,0.016852941,1,4,448,24.4482,5.40006135,0.446252837,-0.051894916,7.5
1,1,QLD,Innisfail 1,227,28.4,0.401408451,0.271126761,0.387323944,0.000880282,0.003521127,6,1,653,34.7656,5.037147389,0.12865141,0.214325038,
0,0,QLD,Innisfail 1,228,46.8,0.376068376,0.243589744,0.361111111,0.000534188,0.001452991,13,2,609,75.2875,3.976499025,-0.419222846,-0.049454158,63.2
0,1,QLD,Innisfail 1,229,36.6,0.385245902,0.275956284,0.338797814,0.000874317,0.003661202,3,1,720,44.2707,4.28936295,-0.225926069,0.010573365,40.6
1,1,QLD,Innisfail 1,231,30.1,0.365448505,0.235880399,0.348837209,0.000531561,0.00166113,3,1,528,16.7015,5.507645929,-0.109693595,0.018028526,
